,text
0,Congratulations @MayorRos on your re-election we hope your campaign against damaging untruthful  #HS2 new route meets with equal success https://t.co/t6g83l23Wk
1,Good point that #hs2 isn't an environmental win. Especially as by the time it's running carbon load of other transport will be lowered. #EV https://t.co/ADCbYbg5lY
2,Lib Dem Surge for Anti-HS2 Lib Dem Stephen Lambert in Aylesbury  +14% to 56% shows how #Remain &amp; #HS2 are a toxic mix 4 Tories in Bucks https://t.co/YTbS5DoBVZ
3,No surprise.\nToo many snouts in the trough incl. #CrayonPushers who bully twitter users via #Notifications.\n#HS2 needs stopping @Theresa_may https://t.co/B932MSdTJP
5,"But for #HS2 Meadowhall fiasco SYorks would have had a metro mayor but Rotherham, Doncaster &amp; Mexborough no longer trust @SheffCouncil https://t.co/6C2c10e33L"
6,"The ""Renaissance"" was sparked by new ways of thinking and practice not a defunct 19Century technology #HS2 £54Bn opportunities wasted https://t.co/RstVKKVvpw"
8,Fair Question @MaryCreaghMP join @WakefieldLabour in backing us we will present the true facts on the damage #HS2 will do to Wakefield area https://t.co/ykUhbdaOns
9,"Tell Andy Burnham that you want the money for Manchester regional Infrastructure, education, police NOW. Not #HS2 pie in the sky promises https://t.co/J7bvSHlHnc"
10,The Incompetence on an Inconceivable Scale of this Govt on Rail &amp; #hs2 is beyond belief &amp; every Poll 2010/17 says public don't want #hs2 https://t.co/x6GDWj4Vty
11,Wishing @natalieben well we support you in pointing out how failed #HS2 plans dont help #Sheffield at our recent conference https://t.co/H7wyEkORq9
12,Why do the #CONSERVATIVES bitch &amp; never actually say why we need to get any where 28 minutes quicker  #Toriesout #HS2 @bbcqt #FridayFeeling https://t.co/WJJnleo5xk
13,And we havn't event mentioned #hs2 \n\nOr the fact this gravytrain of unaccounted spend is all in the SE whilst we are culling our elderly ! https://t.co/mvMSq7mR85
15,"Having been on crowded trains, I can confirm there are crowded trains, with lots of space in 1st. I have also been on many empty trains #HS2 https://t.co/SRTdmS7i4z"
16,You get our vote @EdConwaySky : cancel #HS2 replace it with underground @Hyperloop &amp; move parliament to Leeds. What's not to like #Ed4PM https://t.co/kUpmikJ0uE
18,Conservatives have prioritised unwanted &amp; useless. #HS2 over wanted &amp; much needed rail improvements @KateEMcCann @christianwolmar https://t.co/wlMlsKjQsk
19,"#HS2 route into Euston from #OldOakCommon put on hold. Too many problems #Camden residents, #housing #airpollution #health #traffic https://t.co/39wzj3nVaZ"
24,The cost of #HS2 is like guessing the number of beans in a jar - except someone keeps topping up the jar and its only 1/4 full at the moment https://t.co/Y3w5h3nbTL
25,And yet every political party apart from UKIP and the Greens wants to plough on with this mind-boggling waste of taxpayers' money on #HS2. https://t.co/plFUVmRR5Y
27,"Why not consider ""in light of changed euro economic circumstances"" .... #canceling #elitist  #HS2 ? \nThat'd be just the #ticket Ha ; ) https://t.co/IHCfkjqwUX"
28,"Gov't has ££££ for Trident's successor, #HS2 and tax cuts for the rich, but neglected basic protection of national strategic IT systems. https://t.co/8B7AcgrGgE"
29,don't forget that #elitist #businessman #indulgence of the odd £60 billion -  #HS2 - where's the money for that coming from ? https://t.co/KuAdqOrUGs
30,Plse go public and reject HS2.  Your support is damaging and directly contrary to your key objectives and messaging #HS2 https://t.co/Y7z8s5ZCpy
31,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/yhOM0RcS1w
32,Honestly - who needs #HS2? To get to Manchester today I'd have had to go to London first to get the train. Ridiculous waste of money 😡 https://t.co/624NHEmILM
33,Without XRail 2 at Euston #HS2 becomes even more infeasable than it already is. However Xrail adds Billions more to the overall cost https://t.co/Wl7QSgTHap
34,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/slXcgl2xiW
35,"Whatever it is the former\nHon Member for Bootle @Peter_Dowd is reluctant to share the Labour Party's latest, #HS2 cost estimate with anyone. https://t.co/gYRaEgU9Ty"
38,"Barry Denyer-Green: #HS2, #mines and #minerals: issues for #owners &amp; #occupiers \n\nhttps://t.co/288AC1bjaw\n\n#compulsorypurchase #landlaw #law https://t.co/zU7Ajfe1Mz"
39,"£60b #HS2  makes a nonsense of  Austerity, Tax Rises &amp; Public Service Cuts. All proven totally unnecessary as long as HS2 exists. #tory https://t.co/d2nVOJXLQM"
40,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/cfVAeZkWwH
41,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/WqENnLmndA
42,1/2 One of the issues #MAPAHS2Action's objections to the new proposed #HS2 route was this affect on the local area. Read our submission https://t.co/O7q7OM2egi
43,We could  if we had politicians who listened to the public who have since 2010 in every poll said NO to #hs2 There are NO winners with #hs2 https://t.co/BQYNGlgTyQ
44,I will correct myself. The public will never win with #hs2 however those with their noses in the #hs2 trough will do very nicely thank you. https://t.co/eiMwtmf5Qs
45,#obor : London-Beijing in 48hrs. Russia will complete a 770km section by 2020. The UK can't even agree on the #hs2 route-Mr. Beeching! https://t.co/tpdNHTvnO2
46,let us hope that are even more people to do the far more important work to deliver sustainable mobility and HS2 does not do that #hs2 https://t.co/LJ3yDSyFoW
48,I would get more excited if I thought people would be taken care of in their old age or when they fall ill #HS2 or #NHS https://t.co/NTYMZja9yF
53,Agree HQ has for 4 if not 5 years endorsed #hs2 &amp; it is only some local branches that have said they are against #hs2. Cancel Membership RT https://t.co/AVYfbZENzB
54,"For the avoidance of doubt LB Camden has 225,000 population creating nearly 2% of UK GDP Do you want to tamper with that MrG for #HS2 ? https://t.co/9DQwEqYLhr"
55,"Italy, a country well known for its creative use of taxes and transferring national financial lifeblood into dubious corners #HS2 https://t.co/fF4F2ElibT"
56,"Not only residents, Euston badly disrupted for commuters #HS2 do not cost this just as they do not set off Env damage against 'benefits' https://t.co/AyVLx4xWKQ"
57,You don't have to 'destroy' a life to degrade the quality of it in persistent and not so subtle ways. Child born now will be 17 #HS2 https://t.co/AyVLx4xWKQ
58,"1/4 This #KPMG report was severely criticised. See  Robert Peston: “What KPMG ignored when arguing for #HS2”, #BBCNews @ https://t.co/IWoXFuVntD"
59,#HS2 is not a commercial proposition - it is a lame duck which is laying a golden egg for vested interests who build and operate rail #HS2 https://t.co/vq4ZDZ2ED5
62,No money for education but a bottomless pit of cash available for #HS2. Priorities @theresa_may! No support for HS2! #wrightstuff https://t.co/Ewa861kWnw
67,Yet Both @UKLabour @Number10gov want #hs2 costing between £56Bn &amp; £100Bn plus £2.9Bn a year subsidy for 60yrs. We need NHS Police Teachers https://t.co/xjlDNHmNi3
68,"Food Banks are for those that earn little like the Police, Nurses Teachers &amp; other Essential Services YET @theresa_may wastes £56Bn+ on #hs2 https://t.co/ynxr66GRoq"
69,DO NOT bank on lifelong Tories to vote for a Tory Govt when ALL Essential Services are at Crisis Point yet #hs2 is protected at all times. https://t.co/BXG7qJ5BV4
70,"While £60b+ #HS2 exists there is NO justification for tax rises, cutting vital services or austerity. #theresamaypm #tory #conservative https://t.co/3Qy78DOMDN"
71,Not to mention other Essential Services ALL in CRISIS. It is disgusting that @theresa_may can say there is no money yet waste £56Bn on #hs2 https://t.co/3rr6nMjSN6
72,Pity the #hs2 Money Tree is Destroying 50 Ancient Forests plus thousands of acres of Farmland &amp; destroying the Countryside &amp; isn't wanted. https://t.co/Ra61Ci9Bj1
73,Police forces are at dangerously low numbers A 20% cut on its way. Crime is rising &amp; money needed whilst £60bn #HS2 &amp; foreign aid rolls on https://t.co/IWPdwxkTW2
75,"Circumstances change, prioritories change, #HS2 Cost inflation denied but inevitable We should learn from #HS1 https://t.co/Lq7558jy2f https://t.co/WdYhXPbaqt"
76,What #HS2 will do to housing will be to inflate cost of already scarce labour £54Bn+ of Public money will exacerbate problems SMEs https://t.co/HeFPIvE1aM
79,https://t.co/XvVOq9LUNl Doesn't stand up to scrutiny #HS2 Based on so many erroneous assertions dressed up as urgent necessity https://t.co/JxQpf8Hds6
81,Have the Brummies twigged that they will pay for this via local taxes and council land will be flogged off cheap? #HS2 https://t.co/hiRj6uroML
82,Oh good ! is that in the #HS2 Budget? Will it be paid for by private enterprise at their risk? Will the jobs be transferred from elsewhere? https://t.co/fQFf81vBHW
83,Euclydian Geometry 300BC is still as relevant today as it was when formulated #HS2 principles wrong 9 years ago wrong today Mr G https://t.co/k2zwsnilqE
86,"Not a question of 'Doomed', that shtick is played by #HS2 'rail-lock' A question of reckless allocation of Public resources #greekeconomics https://t.co/b4Ekz6rPAl"
87,In terms of priority there are many more beneficial opportunities to use £54Billion #HS2 last turkey on the rack for public money https://t.co/9BAIrnR9gG
88,"I have never fathomed what ladies would or would not like to see Jim - therefore, I err very much on the side of caution #HS2 https://t.co/Bc45srob6R"
90,Bad news that it is being used as a quasi justification for #HS2 which is robbing far better opportunities for social good https://t.co/qt9YnHnHNr
92,Remarkable that #HS2 cannot find any commercial organisation to build it. They will of course take the £54Billion Public subsidy and run https://t.co/GSL3ElB94l
93,"#hs2 is a mirage over the horizon for the North.\nWhilst £6bn yes £6000,000,000m has just been signed off for new  Thames crossing! https://t.co/hnM10w9sD7"
97,Scrutiny of all Government contracts needs to be vigorously assessed #HS2 #NHSMillions #Trains #ArmedForces @CraigShepherd11 #nhscyberattack https://t.co/PHJw0UUVNV
98,Watch this #HS2 space - Public assets will be deeply discounted to create 'no brainer' profits for private participation - Cf Millenium Dome https://t.co/STakcMhdhS
99,Of course #HS2 will attract 'investors' once it is built - deep discount to cost at the taxpayers expense https://t.co/c9L08IB2YK excellent! https://t.co/PIeCZ9MupM
101,Unpopular? I don't think so.\nReally unpopular is the vanity project of #HS2 which at 50 billion and rising is taking homes and countryside https://t.co/Ue5oEjjqDY
103,"How wonderful #Britain would be, if the future held the promise of #Wildness #Green - when in truth NOT🐝#Housing #Pesticides #HS2 #Fracking https://t.co/TUMOdxB8NL"
104,That's why GPs are leaving the #NHS in droves and are not being replaced - they are overpaid and underworked Mr G - well spotted #HS2 https://t.co/ca1JZSgdyg
105,"The wider public view is clear - people would rather the £54Bn or whatever will be spent on #HS2 were better spent on schools, housing, etc https://t.co/mFcIE0iDIJ"
108,Unfortunately that is the #HS2 Plan - but not affordable houses in Euston - bit of CPO to effect 'poor people cleansing' Triples all round https://t.co/YqMJVssEWA
109,"Never have so many been asked to pay so much £54 Billion, for so few when there are more important things to spend our money on? #HS2 #NHS https://t.co/AgglBtv8IZ"
